gescal17,municipio,tipo_via,nombre_via,numero,cod_postal,uuii
14000200063900000,CORDOBA,CALLE,HERMANO JUAN FERNÁNDEZ,8,14007,11
14000200064500000,CORDOBA,CALLE,HERNANDO DE MAGALLANES,3,14010,11
14000200070500000,CORDOBA,CALLE,JAÉN,6,14013,10
14000200071600000,CORDOBA,AVENIDA,DE JESÚS RESCATADO,9,14007,10
14000200071600000,CORDOBA,AVENIDA,DE JESÚS RESCATADO,21,14007,3
14000200071800000,CORDOBA,CALLE,JOAQUÍN ALTOLAGUIRRE,2,14007,5
14000200071800000,CORDOBA,CALLE,JOAQUÍN ALTOLAGUIRRE,5,14007,1
14000200071800000,CORDOBA,CALLE,JOAQUÍN ALTOLAGUIRRE,6,14007,7
14000200071800000,CORDOBA,CALLE,JOAQUÍN ALTOLAGUIRRE,7,14007,1
14000200071800000,CORDOBA,CALLE,JOAQUÍN ALTOLAGUIRRE,8,14007,1
14000200071800000,CORDOBA,CALLE,JOAQUÍN ALTOLAGUIRRE,9,14007,1
14000200071800000,CORDOBA,CALLE,JOAQUÍN ALTOLAGUIRRE,11,14007,6
14000200071800000,CORDOBA,CALLE,JOAQUÍN ALTOLAGUIRRE,15,14007,1
14000200071800000,CORDOBA,CALLE,JOAQUÍN ALTOLAGUIRRE,17,14007,1
14000200071800000,CORDOBA,CALLE,JOAQUÍN ALTOLAGUIRRE,19,14007,1
14000200071800000,CORDOBA,CALLE,JOAQUÍN ALTOLAGUIRRE,21,14007,1
14000200071800000,CORDOBA,CALLE,JOAQUÍN ALTOLAGUIRRE,22,14007,1
14000200071800000,CORDOBA,CALLE,JOAQUÍN ALTOLAGUIRRE,23,14007,5
14000200071800000,CORDOBA,CALLE,JOAQUÍN ALTOLAGUIRRE,24,14007,1
14000200071800000,CORDOBA,CALLE,JOAQUÍN ALTOLAGUIRRE,25,14007,5
14000200071800000,CORDOBA,CALLE,JOAQUÍN ALTOLAGUIRRE,26,14007,1
14000200071800000,CORDOBA,CALLE,JOAQUÍN ALTOLAGUIRRE,28,14007,6
14000200071800000,CORDOBA,CALLE,JOAQUÍN ALTOLAGUIRRE,29,14007,7
14000200071800000,CORDOBA,CALLE,JOAQUÍN ALTOLAGUIRRE,32,14007,10
14000200072100000,CORDOBA,CALLE,SATURNO,1,14014,23
14000200072100000,CORDOBA,CALLE,SATURNO,3,14014,15
14000200072100000,CORDOBA,CALLE,SATURNO,5,14014,14
14000200072100000,CORDOBA,CALLE,SATURNO,7,14014,22
14000200073000000,CORDOBA,CALLE,JUAN DE CERVANTES,4,14007,6
14000200073000000,CORDOBA,CALLE,JUAN DE CERVANTES,7,14007,1
14000200073000000,CORDOBA,CALLE,JUAN DE CERVANTES,9,14007,1
14000200073000000,CORDOBA,CALLE,JUAN DE CERVANTES,11,14007,1
14000200074300000,CORDOBA,CALLE,JULIO ALARCÓN,11,14007,1
14000200074300000,CORDOBA,CALLE,JULIO ALARCÓN,13,14007,1
14000200074300000,CORDOBA,CALLE,JULIO ALARCÓN,15,14007,1
14000200074300000,CORDOBA,CALLE,JULIO ALARCÓN,17,14007,1
14000200074300000,CORDOBA,CALLE,JULIO ALARCÓN,19,14007,1
14000200074300000,CORDOBA,CALLE,JULIO ALARCÓN,20,14007,6
14000200074300000,CORDOBA,CALLE,JULIO ALARCÓN,21,14007,6
14000200074300000,CORDOBA,CALLE,JULIO ALARCÓN,22,14007,3
14000200074300000,CORDOBA,CALLE,JULIO ALARCÓN,23,14007,6
14000200074300000,CORDOBA,CALLE,JULIO ALARCÓN,24,14007,8
14000200074300000,CORDOBA,CALLE,JULIO ALARCÓN,25,14007,8
14000200074300000,CORDOBA,CALLE,JULIO ALARCÓN,26,14007,13
14000200074300000,CORDOBA,CALLE,JULIO ALARCÓN,27,14007,2
14000200074300000,CORDOBA,CALLE,JULIO ALARCÓN,29,14007,3
14000200074800000,CORDOBA,CALLE,JULIO VALDELOMAR,10,14002,1
14000200074800000,CORDOBA,CALLE,JULIO VALDELOMAR,24,14002,11
14000200076700000,CORDOBA,AVENIDA,DE LIBIA,84,14007,14
14000200078900000,CORDOBA,CALLE,LUIS VALENZUELA,11,14007,6
14000200078900000,CORDOBA,CALLE,LUIS VALENZUELA,13,14007,6
14000200078900000,CORDOBA,CALLE,LUIS VALENZUELA,16,14007,7
14000200078900000,CORDOBA,CALLE,LUIS VALENZUELA,17,14007,10
14000200078900000,CORDOBA,CALLE,LUIS VALENZUELA,18,14007,11
14000200078900000,CORDOBA,CALLE,LUIS VALENZUELA,20,14007,3
14000200078900000,CORDOBA,CALLE,LUIS VALENZUELA,22,14007,1
14000200078900000,CORDOBA,CALLE,LUIS VALENZUELA,24,14007,8
14000200078900000,CORDOBA,CALLE,LUIS VALENZUELA,26,14007,1
14000200081200000,CORDOBA,CALLE,DE LA MANCA,2,14010,42
14000200081200000,CORDOBA,CALLE,DE LA MANCA,4,14001,29
14000200081200000,CORDOBA,CALLE,DE LA MANCA,10,14010,22
14000200082800000,CORDOBA,PLAZA,DE LA FLOR DEL OLIVO,4,14001,91
14000200082900000,CORDOBA,CALLE,MARÍA AUXILIADORA,14,14002,16
14000200082900000,CORDOBA,CALLE,MARÍA AUXILIADORA,16,14002,11
14000200082900000,CORDOBA,CALLE,MARÍA AUXILIADORA,18,14002,6
14000200082900000,CORDOBA,CALLE,MARÍA AUXILIADORA,20,14002,1
14000200082900000,CORDOBA,CALLE,MARÍA AUXILIADORA,22,14002,6
14000200082900000,CORDOBA,CALLE,MARÍA AUXILIADORA,24,14002,17
14000200087800000,CORDOBA,CALLE,MELILLA,1,14010,28
14000200089400000,CORDOBA,CALLE,MIGUEL ÁNGEL ORTI BELMONTE,1,14010,8
14000200089400000,CORDOBA,CALLE,MIGUEL ÁNGEL ORTI BELMONTE,3,14010,8
14000200090200000,CORDOBA,CALLE,MOLINA SÁNCHEZ LAGARTIJO,2,14001,1
14000200090200000,CORDOBA,CALLE,MOLINA SÁNCHEZ LAGARTIJO,8,14001,24
14000200090400000,CORDOBA,AVENIDA,DE LOS MOLINOS,8,14001,25
14000200090400000,CORDOBA,AVENIDA,DE LOS MOLINOS,10,14001,4
14000200090400000,CORDOBA,AVENIDA,DE LOS MOLINOS,12,14001,7
14000200091200000,CORDOBA,PLAZA,DEL MORENO,1,14001,24
14000200091200000,CORDOBA,PLAZA,DEL MORENO,2,14001,29
14000200091200000,CORDOBA,PLAZA,DEL MORENO,3,14001,3
14000200091200000,CORDOBA,PLAZA,DEL MORENO,5,14001,2
14000200091200000,CORDOBA,PLAZA,DEL MORENO,6,14001,2
14000200092600000,CORDOBA,CALLE,MURCIA,5,14010,21
14000200094400000,CORDOBA,CALLE,NUESTRA SEÑORA DE ARACELI,1,14010,6
14000200094800000,CORDOBA,AVENIDA,NUESTRA SEÑORA DE LA FUENSANTA,13,14010,28
14000200094800000,CORDOBA,AVENIDA,NUESTRA SEÑORA DE LA FUENSANTA,17,14010,28
14000200094800000,CORDOBA,AVENIDA,NUESTRA SEÑORA DE LA FUENSANTA,19,14010,28
14000200094800000,CORDOBA,AVENIDA,NUESTRA SEÑORA DE LA FUENSANTA,21,14010,28
14000200094800000,CORDOBA,AVENIDA,NUESTRA SEÑORA DE LA FUENSANTA,23,14010,28
14000200095900000,CORDOBA,CALLE,PACO LEÓN,29,14014,16
14000200095900000,CORDOBA,CALLE,PACO LEÓN,31,14014,16
14000200095900000,CORDOBA,CALLE,PACO LEÓN,33,14014,16
14000200095900000,CORDOBA,CALLE,PACO LEÓN,35,14014,20
14000200095900000,CORDOBA,CALLE,PACO LEÓN,37,14014,20
14000200101900000,CORDOBA,CALLE,PÉREZ DE CASTRO,4,14003,4
14000200101900000,CORDOBA,CALLE,PÉREZ DE CASTRO,6,14003,10
14000200101900000,CORDOBA,CALLE,PÉREZ DE CASTRO,8,14003,8
14000200101900000,CORDOBA,CALLE,PÉREZ DE CASTRO,10,14003,9
14000200101900000,CORDOBA,CALLE,PÉREZ DE CASTRO,12,14003,1
14000200103300000,CORDOBA,CALLE,PINTOR CUENCA MUÑOZ,5,14008,3
14000200106300000,CORDOBA,PASAJE(PASSATGE,PASAI,PASAXE),PLATERO ALCÁNTARA,4,14010,18
14000200107200000,CORDOBA,CALLE,PLATERO PEDRO SÁNCHEZ DE LUQUE,9,14007,18
14000200107400000,CORDOBA,CALLE,PLATERO REPISO,14,14010,26
14000200108100000,CORDOBA,CALLE,POETA ANTONIO GALA,8,14010,16
14000200108100000,CORDOBA,CALLE,POETA ANTONIO GALA,10,14010,22
14000200108300000,CORDOBA,PASAJE(PASSATGE,PASAI,PASAXE),POETA BAENA YUSTE,7,14014,8
14000200108300000,CORDOBA,PASAJE(PASSATGE,PASAI,PASAXE),POETA BAENA YUSTE,9,14014,12
14000200108400000,CORDOBA,Pasaje,POETA BELMONTE MULLER,1,14010,16
14000200108400000,CORDOBA,Pasaje,POETA BELMONTE MULLER,3,14010,16
14000200108400000,CORDOBA,Pasaje,POETA BELMONTE MULLER,4,14010,16
14000200108400000,CORDOBA,Pasaje,POETA BELMONTE MULLER,5,14010,16
14000200108400000,CORDOBA,Pasaje,POETA BELMONTE MULLER,6,14010,16
14000200108500000,CORDOBA,CALLE,POETA BLANCO CRIADO,1,14007,40
14000200108500000,CORDOBA,CALLE,POETA BLANCO CRIADO,3,14007,30
14000200108500000,CORDOBA,CALLE,POETA BLANCO CRIADO,5,14007,16
14000200108500000,CORDOBA,CALLE,POETA BLANCO CRIADO,6,14007,7
14000200108500000,CORDOBA,CALLE,POETA BLANCO CRIADO,7,14007,30
14000200109700000,CORDOBA,CALLE,POETA SOLÍS,3,14007,5
14000200109700000,CORDOBA,CALLE,POETA SOLÍS,10,14007,1
14000200113500000,CORDOBA,CALLE,PUERTA PLASENCIA,28,14010,10
14000200116600000,CORDOBA,CALLE,REYES CATÓLICOS,1,14001,13
14000200116600000,CORDOBA,CALLE,REYES CATÓLICOS,3,14001,5
14000200119100000,CORDOBA,PLAZA,DE RUBÉN DARÍO,7,14010,2
14000200120000000,CORDOBA,CALLE,SAGUNTO,41,14007,3
14000200120000000,CORDOBA,CALLE,SAGUNTO,43,14007,6
14000200124100000,CORDOBA,CALLE,SAN JUAN DE LA CRUZ,9,14007,13
14000200124100000,CORDOBA,CALLE,SAN JUAN DE LA CRUZ,11,14007,14
14000200124800000,CORDOBA,PLAZA,DE SAN NICOLÁS,1,14003,15
14000200125100000,CORDOBA,CALLE,SAN PERFECTO,1,14007,4
14000200125100000,CORDOBA,CALLE,SAN PERFECTO,3,14007,1
14000200125100000,CORDOBA,CALLE,SAN PERFECTO,5,14007,1
14000200125100000,CORDOBA,CALLE,SAN PERFECTO,7,14007,1
14000200125100000,CORDOBA,CALLE,SAN PERFECTO,9,14007,1
14000200125600000,CORDOBA,CALLE,SAN VICENTE DE PAUL,6,14004,9
14000200131900000,CORDOBA,CALLE,DE LOS TEJARES,2,14001,14
14000200135800000,CORDOBA,CALLE,ÚBEDA,5,14013,10
14000200136100000,CORDOBA,CALLE,UTRERA,8,14009,8
14000200136100000,CORDOBA,CALLE,UTRERA,10,14009,8
14000200136100000,CORDOBA,CALLE,UTRERA,12,14009,8
14000200136100000,CORDOBA,CALLE,UTRERA,14,14009,8
14000200136100000,CORDOBA,CALLE,UTRERA,16,14009,8
14000200138300000,CORDOBA,CALLE,VEREDA DE LA ALCAIDIA,1,14014,15
14000200140000000,CORDOBA,AVENIDA,DE LA VIÑUELA,25,14010,14
14000200140000000,CORDOBA,AVENIDA,DE LA VIÑUELA,27,14010,7
14000200140000000,CORDOBA,AVENIDA,DE LA VIÑUELA,29,14010,9
14000200140400000,CORDOBA,AVENIDA,DE VIRGEN DE FÁTIMA,39,14014,22
14000200140800000,CORDOBA,CALLE,VIRGEN MILAGROSA,38,14010,8
14000200140800000,CORDOBA,CALLE,VIRGEN MILAGROSA,40,14010,8
14000200144100000,CORDOBA,CALLE,MINERVA,2,14014,21
14000200144100000,CORDOBA,CALLE,MINERVA,4,14014,14
14000200144100000,CORDOBA,CALLE,MINERVA,6,14014,14
14000200144100000,CORDOBA,CALLE,MINERVA,8,14014,19
14000200144300000,CORDOBA,CALLE,VENUS,10,14014,12
14000200144300000,CORDOBA,CALLE,VENUS,12,14014,12
14000200150400000,CORDOBA,AVENIDA,DE VEINTIOCHO DE FEBRERO,20,14007,6
14000200150400000,CORDOBA,AVENIDA,DE VEINTIOCHO DE FEBRERO,34,14007,1
14000200151900000,CORDOBA,CALLE,GENERAL LÁZARO CÁRDENAS,5,14013,98
14000200152100000,CORDOBA,CALLE,LIBERTADOR HIDALGO Y COSTILLA,3,14013,7
14000200152100000,CORDOBA,CALLE,LIBERTADOR HIDALGO Y COSTILLA,5,14013,7
